fiscal_year,corp_code,stock_code,company_name,dart_corp_cls,marcap_matched,observed_markets,observed_names,first_trade_date,last_trade_date,observed_trading_rows,positive_volume_days,median_daily_amount_krw,median_marcap_raw,min_marcap_raw,max_marcap_raw,flag_spac,flag_reit,flag_fund_etf_etn,flag_preferred_name,security_review_status,modern_oos_protected
2015,00104388,007690,국도화학,Y,True,KOSPI,국도화학,2015-01-02,2015-12-30,248,248,1580385800.0,356481291600.0,229809862800.0,488091744000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00104537,006050,국영지앤엠,K,True,KOSDAQ,국영지앤엠,2015-01-02,2015-12-30,248,248,1189304957.5,41119677097.5,28882439668.0,85266842990.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00104573,078130,국일제지,K,True,KOSDAQ,국일제지,2015-01-02,2015-12-30,248,222,405061675.0,34050000000.0,13040000000.0,71544113150.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00104698,000680,LS네트웍스,Y,True,KOSPI,LS네트웍스,2015-01-02,2015-12-30,248,248,169198797.5,317626467012.5,278713828760.0,380466093030.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00104722,002720,국제약품,Y,True,KOSPI,국제약품,2015-01-02,2015-12-30,248,247,1186094047.5,70954766155.0,36180654240.0,127544202240.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00104768,000500,가온전선,Y,True,KOSPI,가온전선,2015-01-02,2015-12-30,248,248,142791550.0,96728067750.0,75302280700.0,117737820100.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00104786,007120,미래아이앤지,Y,True,KOSPI,디올메디바이오|미래아이앤지,2015-01-02,2015-12-30,248,248,549062920.0,72938316870.0,54860529700.0,164584140200.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00104810,007720,소노스퀘어,K,True,KOSDAQ,대명엔터프라이즈|대명코퍼레이션,2015-01-02,2015-12-30,248,248,977268595.0,137088612000.0,92232411750.0,201600900000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00104856,016360,삼성증권,Y,True,KOSPI,삼성증권,2015-01-02,2015-12-30,248,248,17910006450.0,3657422645250.0,3103267699000.0,5075294956000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00104999,008600,윌비스,Y,True,KOSPI,윌비스,2015-01-02,2015-12-30,248,248,2210487397.5,98040000000.0,70680000000.0,158175000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105040,012340,뉴인텍,K,True,KOSDAQ,뉴인텍,2015-01-02,2015-12-30,248,248,586231072.5,48800204800.0,29356373200.0,82731597200.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105101,015360,INVENI,Y,True,KOSPI,예스코,2015-01-02,2015-12-30,248,248,140084050.0,225600000000.0,197100000000.0,292800000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105138,033540,파라텍,K,True,KOSDAQ,파라텍,2015-01-02,2015-12-30,248,248,132807915.0,62327600000.0,48928000000.0,80731200000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105156,014530,극동유화,Y,True,KOSPI,극동유화,2015-01-02,2015-12-30,248,248,249441475.0,110536061400.0,82814872500.0,151856324100.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105271,002380,케이씨씨,Y,True,KOSPI,KCC,2015-01-02,2015-12-30,248,248,14795830000.0,5160060000000.0,3766160000000.0,6217320000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105280,005440,현대지에프홀딩스,Y,True,KOSPI,현대그린푸드,2015-01-02,2015-12-30,248,248,5106962100.0,2061564570200.0,1656090969900.0,2735725496000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105299,014280,금강공업,Y,True,KOSPI,금강공업,2015-01-02,2015-12-30,248,248,657134250.0,370510053200.0,186226219400.0,512304202000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105466,021320,KCC건설,K,True,KOSDAQ,KCC건설,2015-01-02,2015-12-30,248,248,278935170.0,181472000000.0,148516000000.0,246100000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105475,053260,금강철강,K,True,KOSDAQ,금강철강,2015-01-02,2015-12-30,248,247,152508312.5,57844800000.0,50356800000.0,80496000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105606,214330,금호에이치티,Y,True,KOSPI,금호에이치티,2015-11-11,2015-12-30,35,35,513789290.0,93060450000.0,86517900000.0,97650000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105855,010120,엘에스일렉트릭,Y,True,KOSPI,LS산전,2015-01-02,2015-12-30,248,248,4191866975.0,1530000000000.0,1234500000000.0,1914000000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105873,034220,LG디스플레이,Y,True,KOSPI,LG디스플레이,2015-01-02,2015-12-30,248,248,39736058900.0,9133245742500.0,7371003420000.0,13203399330000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105952,006260,LS,Y,True,KOSPI,LS,2015-01-02,2015-12-30,248,248,6904224000.0,1406335000000.0,893550000000.0,1822520000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00105961,011070,LG이노텍,Y,True,KOSPI,LG이노텍,2015-01-02,2015-12-30,248,248,15426792750.0,2325293262750.0,1869701453000.0,2769051519000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00106119,001570,금양,Y,True,KOSPI,금양,2015-01-02,2015-12-30,248,248,275881160.0,66507090520.0,49191635000.0,81461347560.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00106313,002990,금호건설,Y,True,KOSPI,금호산업,2015-01-02,2015-12-30,248,248,4913376300.0,617039240525.0,476040138750.0,1030735855500.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00106368,011780,금호석유화학,Y,True,KOSPI,금호석유,2015-01-02,2015-12-30,248,248,8895830450.0,2201290674750.0,1538618395500.0,2796934033800.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00106395,001210,금호전기,Y,True,KOSPI,금호전기,2015-01-02,2015-12-30,248,248,299065775.0,126045029475.0,85413229850.0,162181395950.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00106614,092440,기신정기,Y,True,KOSPI,기신정기,2015-01-02,2015-12-30,248,248,182980450.0,221628000000.0,176952000000.0,265136000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00106623,011210,현대위아,Y,True,KOSPI,현대위아,2015-01-02,2015-12-30,248,248,18329758000.0,3508165707000.0,2488350094500.0,5235053477500.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00106641,000270,기아,Y,True,KOSPI,기아차,2015-01-02,2015-12-30,248,248,51118502625.0,19406770237625.0,16336142884100.0,23632683130100.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00106669,001430,세아베스틸지주,Y,True,KOSPI,세아베스틸,2015-01-02,2015-12-30,248,248,2493295150.0,1184346479975.0,966484107050.0,1644278156150.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00106881,014990,인디에프,Y,True,KOSPI,인디에프,2015-01-02,2015-12-30,248,247,709808850.0,151752462125.0,77791553400.0,238383964775.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00107066,001260,남광토건,Y,True,KOSPI,남광토건,2015-01-02,2015-12-30,248,179,3017054440.0,69862371600.0,20844114480.0,163253521200.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00107224,008350,남선알미늄,Y,True,KOSPI,남선알미늄,2015-01-02,2015-12-30,248,248,1298734890.0,130837669375.0,100373150990.0,157556098700.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00107598,003920,남양유업,Y,True,KOSPI,남양유업,2015-01-02,2015-12-30,248,248,563634500.0,532080000000.0,451440000000.0,622080000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00107613,007660,이수페타시스,Y,True,KOSPI,이수페타시스,2015-01-02,2015-12-30,248,248,3196002280.0,240182076360.0,183231687120.0,300846621420.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00107677,002070,비비안,Y,True,KOSPI,남영비비안,2015-01-02,2015-12-30,248,248,95559125.0,73830408750.0,52883176500.0,96151230000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00107987,025860,남해화학,Y,True,KOSPI,남해화학,2015-01-02,2015-12-30,248,248,1720770850.0,491820545700.0,417799069630.0,665696496200.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00108001,091590,남화토건,K,True,KOSDAQ,남화토건,2015-01-02,2015-12-30,248,248,162329885.0,69031200000.0,59404400000.0,82649600000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00108038,004250,엔피씨,Y,True,KOSPI,NPC,2015-01-02,2015-12-30,248,248,114999385.0,235008000000.0,194248800000.0,286416000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00108135,005250,녹십자홀딩스,Y,True,KOSPI,녹십자홀딩스,2015-01-02,2015-12-30,248,248,3056642150.0,1774139222250.0,940564200000.0,2718230538000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00108241,004370,농심,Y,True,KOSPI,농심,2015-01-02,2015-12-30,248,248,6727039750.0,1762445519500.0,1389883697000.0,2673321159000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00108490,048830,엔피케이,K,True,KOSDAQ,엔피케이,2015-01-02,2015-12-30,248,248,70839602.5,31631301542.5,25847846000.0,69142988050.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00108649,048770,TPC로보틱스,K,True,KOSDAQ,TPC,2015-01-02,2015-12-30,248,248,587651285.0,92622000000.0,61920000000.0,120744000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00108746,015590,DKME,Y,True,KOSPI,대경기계,2015-01-02,2015-12-30,248,248,103771167.5,89499720150.0,65687868000.0,107563883850.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00108913,019680,대교,Y,True,KOSPI,대교,2015-01-02,2015-12-30,248,248,984448600.0,708115826000.0,575979380000.0,893615067500.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00108940,016710,대성홀딩스,Y,True,KOSPI,대성홀딩스,2015-01-02,2015-12-30,248,248,193866880.0,186637724400.0,152688965910.0,241341885000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00108977,006370,대구백화점,Y,True,KOSPI,대구백화점,2015-01-02,2015-12-30,248,248,117302500.0,167734970500.0,145009587400.0,196953320200.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109037,027830,대성창투,K,True,KOSDAQ,대성창투,2015-01-02,2015-12-30,248,247,1287531082.5,84000000000.0,59600000000.0,120000000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109161,006890,태경케미컬,Y,True,KOSPI,태경화학,2015-01-02,2015-12-30,248,248,253504625.0,72732000000.0,62408000000.0,94308000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109189,008060,대덕,Y,True,KOSPI,대덕전자,2015-01-02,2015-12-30,248,248,1131893660.0,383538918000.0,333278729000.0,507481520000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109268,048470,대동스틸,K,True,KOSDAQ,대동스틸,2015-01-02,2015-12-30,248,248,519910525.0,35050000000.0,25900000000.0,47000000000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109286,000490,대동,Y,True,KOSPI,대동공업,2015-01-02,2015-12-30,248,248,296194570.0,241434536750.0,208808248000.0,327449298000.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
2015,00109310,008830,대동기어,K,True,KOSDAQ,대동기어,2015-01-02,2015-12-30,248,248,7245625.0,24131491200.0,16222473600.0,31725945600.0,False,False,False,False,MATCHED_COMMON_CANDIDATE,True
