Date,Code,Name,Market,prev_date,prev_close,Open,Close,prev_stocks,Stocks,stocks_ratio,open_ratio,prev_marcap,Marcap,marcap_ratio,share_price_product,split_like
2017-07-06,001140,국보,KOSPI,2017-07-05,10750.0,10650.0,10500.0,1027304.0,1682304,1.6375912096127339,0.9906976744186047,11043518000.0,17664192000.0,1.5995076931101122,1.6223578030116852,False
2019-05-03,001140,국보,KOSPI,2019-05-02,23550.0,2305.0,2205.0,1682304.0,16823040,10.0,0.09787685774946922,39618259200.0,37094803200.0,0.9363057324840764,0.9787685774946921,True
2020-05-13,001140,국보,KOSPI,2020-05-12,1655.0,1650.0,1680.0,24410271.0,33347235,1.3661149030258615,0.9969788519637462,40398998505.0,56023354800.0,1.3867510798087295,1.361987667669288,False
2019-04-16,001210,금호전기,KOSPI,2019-04-15,5090.0,4820.0,4375.0,6976579.0,9937180,1.4243628574979228,0.9469548133595285,35510787110.0,43475162500.0,1.2242804521715938,1.34880726387819,False
2016-06-24,001250,GS글로벌,KOSPI,2016-06-23,2490.0,2500.0,2245.0,22533764.0,82533764,3.6626710033885153,1.0040160642570282,56109072360.0,185288300180.0,3.3022877118904486,3.6773805254904772,False
2016-02-05,001260,남광토건,KOSPI,2016-02-04,4330.0,15000.0,12500.0,7247071.0,9796455,1.3517812920557837,3.464203233256351,31379817430.0,122455687500.0,3.9023709354959113,4.682845122595094,False
2018-02-20,001290,골든브릿지증권,KOSPI,2018-02-19,1380.0,1720.0,2235.0,63737067.0,50693589,0.7953549070590273,1.2463768115942029,87957152460.0,113300171415.0,1.2881291429542943,0.9913119131460341,True
2019-04-09,001290,골든브릿지증권,KOSPI,2019-04-08,2770.0,2860.0,2735.0,50693589.0,96108437,1.895869653261283,1.032490974729242,140421241530.0,262856575195.0,1.8719146215413753,1.957468306255332,False
2015-06-17,001340,백광산업,KOSPI,2015-06-16,2100.0,2075.0,2100.0,31211241.0,44918407,1.4391740142597982,0.9880952380952381,65543606100.0,94328654700.0,1.4391740142597982,1.422040990280515,False
2016-09-09,001360,삼성제약,KOSPI,2016-09-08,5740.0,5650.0,5580.0,30713570.0,39713570,1.2930300840963782,0.9843205574912892,176295891800.0,221601720600.0,1.2569874336686047,1.2727560932307556,False
2018-07-02,001360,삼성제약,KOSPI,2018-06-29,2815.0,2760.0,2725.0,44135743.0,58135743,1.3172032246064147,0.9804618117229129,124242116545.0,158419899675.0,1.27509015525843,1.2914674600048683,False
2015-02-17,001440,대한전선,KOSPI,2015-02-16,1200.0,0.0,6000.0,163536685.0,32707337,0.2,0.0,196244022000.0,196244022000.0,1.0,0.0,False
2015-10-21,001440,대한전선,KOSPI,2015-10-20,6000.0,0.0,6000.0,34769231.0,839089231,24.133097191594487,0.0,208615386000.0,5034535386000.0,24.133097191594487,0.0,False
2016-05-13,001470,삼부토건,KOSPI,2016-05-12,1810.0,45250.0,31700.0,8802687.0,6228585,0.7075776975825677,25.0,15932863470.0,197446144500.0,12.392382880313479,17.689442439564193,False
2016-12-23,001470,삼부토건,KOSPI,2016-12-22,5160.0,4200.0,4730.0,6228585.0,9758395,1.5667113798719934,0.813953488372093,32139498600.0,46157208350.0,1.4361520982159939,1.2752301929190644,False
2017-10-31,001470,삼부토건,KOSPI,2017-10-30,9330.0,9330.0,9090.0,9786266.0,18431799,1.883435316391359,1.0,91305861780.0,167545052910.0,1.8349868195066938,1.883435316391359,False
2018-09-18,001470,삼부토건,KOSPI,2018-09-17,5740.0,5850.0,5880.0,18873841.0,24503841,1.2982964622834323,1.019163763066202,108335847340.0,144082585080.0,1.329962229656199,1.3231767080763204,False
2019-05-02,001470,삼부토건,KOSPI,2019-04-30,4685.0,910.0,976.0,24803131.0,124015655,5.0,0.19423692636072573,116202668735.0,121039279280.0,1.0416221985058698,0.9711846318036287,True
2018-12-24,001510,SK증권,KOSPI,2018-12-21,647.0,643.0,630.0,356480171.0,472590171,1.3257123662005874,0.9938176197836167,230642670637.0,297731807730.0,1.290879120102581,1.3175163082951742,False
2017-12-22,001620,동국실업,KOSPI,2017-12-21,1025.0,1020.0,1030.0,29412072.0,53312072,1.812591510043903,0.9951219512195122,30147373800.0,54911434160.0,1.8214334198489952,1.8037496002388107,False
2019-02-26,001620,동국실업,KOSPI,2019-02-25,918.0,915.0,940.0,53312072.0,66042072,1.2387826907196553,0.9967320261437909,48940482096.0,62079547680.0,1.2684702933294947,1.234734381272859,False
2015-05-29,001630,종근당홀딩스,KOSPI,2015-05-28,97000.0,97100.0,93500.0,3640950.0,4477766,1.2298345212101238,1.0010309278350515,353172150000.0,418671121000.0,1.1854590487953254,1.2311023918505466,False
2015-01-22,001795,대한제당우,KOSPI,2015-01-21,11950.0,11800.0,11800.0,540230.0,648276,1.2,0.9874476987447699,6455748500.0,7649656800.0,1.1849372384937238,1.1849372384937238,True
2015-01-22,001799,대한제당3우B,KOSPI,2015-01-21,23200.0,22700.0,22950.0,108046.0,129656,1.2000074042537439,0.978448275862069,2506667200.0,2975605200.0,1.1870762899837681,1.1741451757137924,True
2017-07-07,001800,오리온홀딩스,KOSPI,2017-07-06,798000.0,39200.0,32900.0,6008435.0,20550849,3.4203330817425837,0.04912280701754386,4794731130000.0,676122932100.0,0.1410137323174574,0.168016361910162,False
2017-12-07,001800,오리온홀딩스,KOSPI,2017-12-06,28550.0,28600.0,28400.0,20550849.0,62644053,3.0482464739048005,1.001751313485114,586726738950.0,1779091105200.0,3.0322311684377,3.053584909060501,False
2020-07-21,001880,대림건설,KOSPI,2020-07-20,30900.0,30900.0,29750.0,15179766.0,22053284,1.4528079023089024,1.0,469054769400.0,656085199000.0,1.398738999795788,1.4528079023089024,False
2018-05-04,001940,KISCO홀딩스,KOSPI,2018-05-03,71100.0,14500.0,14400.0,3695276.0,18476380,5.0,0.2039381153305204,262734123600.0,266059872000.0,1.0126582278481013,1.0196905766526019,True
2020-02-06,002070,남영비비안,KOSPI,2020-02-05,16350.0,1705.0,1535.0,6867945.0,68679450,10.0,0.10428134556574924,112290900750.0,105422955750.0,0.9388379204892966,1.0428134556574924,True
2020-08-21,002070,비비안,KOSPI,2020-08-20,991.0,4000.0,4280.0,68679450.0,13735890,0.2,4.036326942482341,68061334950.0,58789609200.0,0.863773965691221,0.8072653884964682,True
