corp_code,company_name,business_year,fiscal_quarter,statement_basis,operating_profit_q,prior_year_same_q_operating_profit,op_turnaround_yoy,net_income_ttm,ttm_exact_four_quarters,ttm_same_basis,equity_q_end,fcf_q,prior_year_same_q_fcf,fcf_yoy_improvement,base_a_accounting_only,signal_date_status,mcap_status,modern_oos_protected
00100258,주식회사 에스마크,2016,Q1,CFS,-3176470462.0,,False,,False,False,24285388306.0,-4639988195.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100258,주식회사 에스마크,2016,Q2,CFS,-3926257233.0,,False,,False,False,29062431958.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100258,주식회사 에스마크,2016,Q3,CFS,-6158943470.0,,False,,False,False,39893902042.0,-3423461671.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100258,주식회사 에스마크,2016,Q4,CFS,-2995341327.0,,False,-20911963294.0,True,True,47442925425.0,-12571496372.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,(주)웰크론강원,2016,Q1,CFS,74820720.0,,False,,False,False,57157936530.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,(주)웰크론강원,2016,Q2,CFS,-7279454.0,,False,,False,False,55459091631.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,(주)웰크론강원,2016,Q3,CFS,-2201432677.0,,False,,False,False,53133437539.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,(주)웰크론강원,2016,Q4,CFS,822701396.0,,False,-1125370879.0,True,True,55088689748.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100717,(주)아이이,2016,Q1,CFS,-706294538.0,,False,,False,False,54654817500.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100717,(주)아이이,2016,Q2,CFS,-1083829408.0,,False,,False,False,54691931525.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100717,(주)아이이,2016,Q3,CFS,-410696210.0,,False,,False,False,128141275552.0,-435177425.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100717,(주)아이이,2016,Q4,CFS,-1550297537.0,,False,-142116069548.0,True,True,9306767612.0,7246565556.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101044,슈넬생명과학(주),2016,Q1,CFS,-230532711.0,,False,,False,False,74825671284.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101044,슈넬생명과학(주),2016,Q2,CFS,-17324872.0,,False,,False,False,81601829491.0,,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101044,슈넬생명과학(주),2016,Q3,CFS,-449087022.0,,False,,False,False,80676638272.0,161095753.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00101044,슈넬생명과학(주),2016,Q4,CFS,449572762.0,,False,-4766946975.0,True,True,78120480559.0,-64694179.0,,,False,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
