target_year,period,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,rcept_dt,flr_nm,rm,detail_type,is_correction,filing_rank_within_corp_period,is_earliest_corp_period
2020,FY,00100601,강원에너지,114190,K,사업보고서제출기한연장신고서 (2020.12),20210323000544,20210323,강원에너지,정,A001,False,1,True
2020,FY,00100601,강원에너지,114190,K,사업보고서제출기한연장신고서 (2020.12),20210323000544,20210323,강원에너지,정,A002,False,2,False
2020,FY,00100601,강원에너지,114190,K,사업보고서제출기한연장신고서 (2020.12),20210323000544,20210323,강원에너지,정,A003,False,3,False
2020,FY,00100601,강원에너지,114190,K,[기재정정]사업보고서제출기한연장신고서 (2020.12),20210323000623,20210323,강원에너지,,A001,True,4,False
2020,FY,00100601,강원에너지,114190,K,[기재정정]사업보고서제출기한연장신고서 (2020.12),20210323000623,20210323,강원에너지,,A002,True,5,False
2020,FY,00100601,강원에너지,114190,K,[기재정정]사업보고서제출기한연장신고서 (2020.12),20210323000623,20210323,강원에너지,,A003,True,6,False
2020,FY,00100601,강원에너지,114190,K,사업보고서 (2020.12),20210402002033,20210402,강원에너지,연,A001,False,7,False
2020,FY,00100601,강원에너지,114190,K,사업보고서 (2020.12),20210402002033,20210402,강원에너지,연,A002,False,8,False
2020,FY,00100601,강원에너지,114190,K,사업보고서 (2020.12),20210402002033,20210402,강원에너지,연,A003,False,9,False
2020,H1,00100601,강원에너지,114190,K,반기보고서 (2020.06),20200814002589,20200814,강원에너지,,A001,False,1,True
2020,H1,00100601,강원에너지,114190,K,반기보고서 (2020.06),20200814002589,20200814,강원에너지,,A002,False,2,False
2020,H1,00100601,강원에너지,114190,K,반기보고서 (2020.06),20200814002589,20200814,강원에너지,,A003,False,3,False
2020,Q1,00100601,강원에너지,114190,K,분기보고서 (2020.03),20200515001969,20200515,강원에너지,,A001,False,1,True
2020,Q1,00100601,강원에너지,114190,K,분기보고서 (2020.03),20200515001969,20200515,강원에너지,,A002,False,2,False
2020,Q1,00100601,강원에너지,114190,K,분기보고서 (2020.03),20200515001969,20200515,강원에너지,,A003,False,3,False
2020,Q3,00100601,강원에너지,114190,K,분기보고서 (2020.09),20201116000469,20201116,강원에너지,,A001,False,1,True
2020,Q3,00100601,강원에너지,114190,K,분기보고서 (2020.09),20201116000469,20201116,강원에너지,,A002,False,2,False
2020,Q3,00100601,강원에너지,114190,K,분기보고서 (2020.09),20201116000469,20201116,강원에너지,,A003,False,3,False
2020,FY,00100939,강남제비스코,000860,Y,사업보고서 (2020.12),20210317000299,20210317,강남제비스코,연,A001,False,1,True
2020,FY,00100939,강남제비스코,000860,Y,사업보고서 (2020.12),20210317000299,20210317,강남제비스코,연,A002,False,2,False
2020,FY,00100939,강남제비스코,000860,Y,사업보고서 (2020.12),20210317000299,20210317,강남제비스코,연,A003,False,3,False
2020,H1,00100939,강남제비스코,000860,Y,반기보고서 (2020.06),20200814001424,20200814,강남제비스코,,A001,False,1,True
2020,H1,00100939,강남제비스코,000860,Y,반기보고서 (2020.06),20200814001424,20200814,강남제비스코,,A002,False,2,False
2020,H1,00100939,강남제비스코,000860,Y,반기보고서 (2020.06),20200814001424,20200814,강남제비스코,,A003,False,3,False
2020,Q1,00100939,강남제비스코,000860,Y,분기보고서 (2020.03),20200515001027,20200515,강남제비스코,,A001,False,1,True
2020,Q1,00100939,강남제비스코,000860,Y,분기보고서 (2020.03),20200515001027,20200515,강남제비스코,,A002,False,2,False
