corp_code,company_name,business_year,fiscal_quarter,statement_basis,operating_profit_q,prior_year_same_q_operating_profit,op_turnaround_yoy,net_income_ttm,ttm_exact_four_quarters,ttm_same_basis,equity_q_end,fcf_q,prior_year_same_q_fcf,fcf_yoy_improvement,base_a_accounting_only,receipt_no,receipt_date,signal_date_status,mcap_status,modern_oos_protected
00100258,주식회사 에스마크,2016,Q1,CFS,-3176470462.0,,False,,False,False,24285388306.0,-4639988195.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100258,주식회사 에스마크,2016,Q2,CFS,-3926257233.0,,False,,False,False,29062431958.0,,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100258,주식회사 에스마크,2016,Q3,CFS,-6158943470.0,,False,,False,False,39893902042.0,,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100258,주식회사 에스마크,2016,Q4,CFS,-2995341327.0,,False,-20911963294.0,True,True,47442925425.0,-12571496372.0,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,,2015,Q1,OFS,132942297.0,,False,,False,False,52042594369.0,-5676701480.0,,,False,20150515001283.0,20150515.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,,2015,Q2,OFS,-419626528.0,,False,,False,False,54301074783.0,3731465513.0,,,False,20150817000816.0,20150817.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,,2015,Q3,CFS,,,False,,False,False,56573764626.0,,,,False,20151116000261.0,20151116.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,,2015,Q4,CFS,293731931.0,,False,,True,False,56583900588.0,,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,(주)웰크론강원,2016,Q1,CFS,74820720.0,132942297.0,False,,True,False,57157936530.0,,-5676701480.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,(주)웰크론강원,2016,Q2,CFS,-7279454.0,-419626528.0,False,,True,True,55459091631.0,,3731465513.0,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,(주)웰크론강원,2016,Q3,CFS,-2201432677.0,,False,-3043224888.0,True,True,53133437539.0,,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100601,(주)웰크론강원,2016,Q4,CFS,822701396.0,293731931.0,False,-1125370879.0,True,True,55088689748.0,,,,False,,,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100717,,2015,Q1,CFS,843842173.0,,False,,False,False,42999168120.0,-314325536.0,,,False,20150514005164.0,20150514.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100717,,2015,Q2,CFS,-1042398.0,,False,,False,False,62151390249.0,967219982.0,,,False,20150813000358.0,20150813.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
00100717,,2015,Q3,CFS,-448515335.0,,False,,False,False,65621210621.0,370496367.0,,,False,20151113000903.0,20151113.0,NOT_CONFIRMED,NOT_AVAILABLE_KRX_PENDING,True
