stock_code,corp_code,corp_name,business_year,fiscal_quarter,statement_basis,statement_status,operating_profit_q,net_income_q,equity_q_end,cfo_q,capex_q,fcf_q,earliest_relevant_disclosure_date,earliest_relevant_rcept_no,earliest_relevant_report_nm,universe_source,modern_oos_protected,metric_selection_json,operating_profit_q_yoy_lag,statement_basis_yoy_lag,basis_comparable_yoy,op_turnaround_yoy,net_income_ttm,base_a_accounting_only
000660,00164779,SK하이닉스,2015,Q1,,no_statement,,,,,,,20150423,20150423800025,연결재무제표기준영업(잠정)실적(공정공시),configured_stock_list_not_survivorship_free,True,{},,,False,False,,False
000660,00164779,SK하이닉스,2015,Q2,,no_statement,,,,,,,20150723,20150723800026,연결재무제표기준영업(잠정)실적(공정공시),configured_stock_list_not_survivorship_free,True,{},,,False,False,,False
000660,00164779,SK하이닉스,2015,Q3,,no_statement,,,,,,,20151022,20151022800031,[첨부추가]연결재무제표기준영업(잠정)실적(공정공시),configured_stock_list_not_survivorship_free,True,{},,,False,False,,False
000660,00164779,SK하이닉스,2015,Q4,CFS,ok,,,21387703000000.0,,,,20160126,20160126800039,연결재무제표기준영업(잠정)실적(공정공시),configured_stock_list_not_survivorship_free,True,"{""operating_profit"": {""value_raw_or_cumulative"": null, ""selection_rule"": ""missing"", ""amount_method"": ""missing"", ""account_id"": null, ""account_nm"": null, ""sj_div"": null}, ""net_income"": {""value_raw_or_cumulative"": 4323595000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""value_raw_or_cumulative"": 21387703000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""value_raw_or_cumulative"": 9319520000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""value_raw_or_cumulative"": 6774625000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""sj_div"": ""CF""}, ""capex_intangible"": {""value_raw_or_cumulative"": 623743000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""sj_div"": ""CF""}}",,,False,False,,False
000660,00164779,SK하이닉스,2016,Q1,CFS,ok,,448026000000.0,21464689000000.0,649699000000.0,1779171000000.0,-1129472000000.0,20160426,20160426800024,연결재무제표기준영업(잠정)실적(공정공시),configured_stock_list_not_survivorship_free,True,"{""operating_profit"": {""value_raw_or_cumulative"": null, ""selection_rule"": ""missing"", ""amount_method"": ""missing"", ""account_id"": null, ""account_nm"": null, ""sj_div"": null}, ""net_income"": {""value_raw_or_cumulative"": 448026000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_q1"", ""account_id"": ""ifrs_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""value_raw_or_cumulative"": 21464689000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_q1"", ""account_id"": ""ifrs_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""value_raw_or_cumulative"": 649699000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_q1"", ""account_id"": ""ifrs_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""value_raw_or_cumulative"": 1649520000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_q1"", ""account_id"": ""ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""sj_div"": ""CF""}, ""capex_intangible"": {""value_raw_or_cumulative"": 129651000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_q1"", ""account_id"": ""ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""sj_div"": ""CF""}}",,,False,False,,False
000660,00164779,SK하이닉스,2016,Q2,CFS,ok,,286132000000.0,21700822000000.0,1282836000000.0,1722643000000.0,-439807000000.0,20160726,20160726800037,연결재무제표기준영업(잠정)실적(공정공시),configured_stock_list_not_survivorship_free,True,"{""operating_profit"": {""value_raw_or_cumulative"": null, ""selection_rule"": ""missing"", ""amount_method"": ""missing"", ""account_id"": null, ""account_nm"": null, ""sj_div"": null}, ""net_income"": {""value_raw_or_cumulative"": 734158000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""cumulative_add_amount"", ""account_id"": ""ifrs_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""value_raw_or_cumulative"": 21700822000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""value_raw_or_cumulative"": 1932535000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""value_raw_or_cumulative"": 3254017000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""sj_div"": ""CF""}, ""capex_intangible"": {""value_raw_or_cumulative"": 247797000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""sj_div"": ""CF""}}",,,False,False,,False
000660,00164779,SK하이닉스,2016,Q3,CFS,ok,,597751000000.0,22004580000000.0,1636624000000.0,1474527000000.0,162097000000.0,20161025,20161025800008,연결재무제표기준영업(잠정)실적(공정공시),configured_stock_list_not_survivorship_free,True,"{""operating_profit"": {""value_raw_or_cumulative"": null, ""selection_rule"": ""missing"", ""amount_method"": ""missing"", ""account_id"": null, ""account_nm"": null, ""sj_div"": null}, ""net_income"": {""value_raw_or_cumulative"": 1331909000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""cumulative_add_amount"", ""account_id"": ""ifrs_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""value_raw_or_cumulative"": 22004580000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""value_raw_or_cumulative"": 3569159000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""value_raw_or_cumulative"": 4600747000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""sj_div"": ""CF""}, ""capex_intangible"": {""value_raw_or_cumulative"": 375594000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""sj_div"": ""CF""}}",,,False,False,,False
000660,00164779,SK하이닉스,2016,Q4,CFS,ok,,1628574000000.0,24023530000000.0,1979763000000.0,1510388000000.0,469375000000.0,20170126,20170126800023,연결재무제표기준영업(잠정)실적(공정공시),configured_stock_list_not_survivorship_free,True,"{""operating_profit"": {""value_raw_or_cumulative"": null, ""selection_rule"": ""missing"", ""amount_method"": ""missing"", ""account_id"": null, ""account_nm"": null, ""sj_div"": null}, ""net_income"": {""value_raw_or_cumulative"": 2960483000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""value_raw_or_cumulative"": 24023530000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""value_raw_or_cumulative"": 5548922000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""value_raw_or_cumulative"": 5956354000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""sj_div"": ""CF""}, ""capex_intangible"": {""value_raw_or_cumulative"": 530375000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""sj_div"": ""CF""}}",,CFS,True,False,2960483000000.0,False
000660,00164779,SK하이닉스,2017,Q1,CFS,ok,,1898678000000.0,25168919000000.0,2820020000000.0,2212767000000.0,607253000000.0,20170425,20170425800065,연결재무제표기준영업(잠정)실적(공정공시),configured_stock_list_not_survivorship_free,True,"{""operating_profit"": {""value_raw_or_cumulative"": null, ""selection_rule"": ""missing"", ""amount_method"": ""missing"", ""account_id"": null, ""account_nm"": null, ""sj_div"": null}, ""net_income"": {""value_raw_or_cumulative"": 1898678000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_q1"", ""account_id"": ""ifrs_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""value_raw_or_cumulative"": 25168919000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_q1"", ""account_id"": ""ifrs_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""value_raw_or_cumulative"": 2820020000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_q1"", ""account_id"": ""ifrs_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""value_raw_or_cumulative"": 2018470000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_q1"", ""account_id"": ""ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""sj_div"": ""CF""}, ""capex_intangible"": {""value_raw_or_cumulative"": 194297000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_q1"", ""account_id"": ""ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""sj_div"": ""CF""}}",,CFS,True,False,4411135000000.0,False
000660,00164779,SK하이닉스,2017,Q2,CFS,ok,,2468511000000.0,27763784000000.0,3284102000000.0,2900377000000.0,383725000000.0,20170725,20170725800008,연결재무제표기준영업(잠정)실적(공정공시),configured_stock_list_not_survivorship_free,True,"{""operating_profit"": {""value_raw_or_cumulative"": null, ""selection_rule"": ""missing"", ""amount_method"": ""missing"", ""account_id"": null, ""account_nm"": null, ""sj_div"": null}, ""net_income"": {""value_raw_or_cumulative"": 4367189000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""cumulative_add_amount"", ""account_id"": ""ifrs_ProfitLoss"", ""account_nm"": ""당기순이익(손실)"", ""sj_div"": ""CIS""}, ""equity"": {""value_raw_or_cumulative"": 27763784000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_Equity"", ""account_nm"": ""자본총계"", ""sj_div"": ""BS""}, ""cfo"": {""value_raw_or_cumulative"": 6104122000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_CashFlowsFromUsedInOperatingActivities"", ""account_nm"": ""영업활동현금흐름"", ""sj_div"": ""CF""}, ""capex_ppe"": {""value_raw_or_cumulative"": 4683431000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_PurchaseOfPropertyPlantAndEquipmentClassifiedAsInvestingActivities"", ""account_nm"": ""유형자산의 취득"", ""sj_div"": ""CF""}, ""capex_intangible"": {""value_raw_or_cumulative"": 429713000000.0, ""selection_rule"": ""standard_id"", ""amount_method"": ""reported_amount_assumed_cumulative"", ""account_id"": ""ifrs_PurchaseOfIntangibleAssetsClassifiedAsInvestingActivities"", ""account_nm"": ""무형자산의 취득"", ""sj_div"": ""CF""}}",,CFS,True,False,6593514000000.0,False
