corp_code,business_year,fiscal_quarter,receipt_no,receipt_date,source_status,statement_basis,period_end,operating_profit_cumulative,operating_profit_q,net_income_cumulative,net_income_q,equity_q_end,cfo_cumulative,cfo_q,capex_ppe_cumulative,capex_ppe_q_spend,capex_intangible_cumulative,capex_intangible_q_spend,capex_q_spend,fcf_q,basis_comparable_to_immediate_predecessor,signal_date_status,source_type,modern_oos_protected
00101257,2015,Q1,20150515002883,20150515,ok,CFS,2015-03-31,-26660220113.0,-26660220113.0,-49893017522.0,-49893017522.0,-186219722761.0,-19849861810.0,-19849861810.0,0.0,0.0,0.0,0.0,0.0,-19849861810.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101257,2015,Q2,20150817001771,20150817,ok,CFS,2015-06-30,-315102626629.0,-288442406516.0,-621325501333.0,-571432483811.0,-869073875463.0,-14750916573.0,5098945237.0,0.0,0.0,0.0,0.0,0.0,5098945237.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101257,2015,Q3,20151116000013,20151116,ok,CFS,2015-09-30,-318075033891.0,-2972407262.0,-600649259201.0,20676242132.0,-848679983913.0,30840859564.0,45591776137.0,0.0,0.0,0.0,0.0,0.0,45591776137.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101257,2015,Q4,,,ok,CFS,,-324947783534.0,-6872749643.0,-696451806779.0,-95802547578.0,-950527655880.0,18355843608.0,-12485015956.0,0.0,0.0,0.0,0.0,0.0,-12485015956.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00101336,2015,Q1,20150514000343,20150514,ok,CFS,2015-03-31,5691366559.0,5691366559.0,4956498581.0,4956498581.0,310092188379.0,23529928843.0,23529928843.0,4403608496.0,4403608496.0,119064836.0,119064836.0,4522673332.0,19007255511.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101336,2015,Q2,20150813000087,20150813,ok,CFS,2015-06-30,12637887291.0,6946520732.0,12272089634.0,7315591053.0,316381664069.0,20546452828.0,-2983476015.0,12705679538.0,8302071042.0,177221989.0,58157153.0,8360228195.0,-11343704210.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101336,2015,Q3,20151113000536,20151113,ok,CFS,2015-09-30,9788315904.0,-2849571387.0,12837465665.0,565376031.0,315664174246.0,28093985198.0,7547532370.0,26609246311.0,13903566773.0,218418976.0,41196987.0,13944763760.0,-6397231390.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101336,2015,Q4,,,ok,CFS,,19767569699.0,9979253795.0,22511018977.0,9673553312.0,323274220607.0,48997034644.0,20903049446.0,42956523642.0,16347277331.0,437768896.0,219349920.0,16566627251.0,4336422195.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00101488,2015,Q1,20150514002716,20150514,ok,CFS,2015-03-31,5499426458.0,5499426458.0,2973597723.0,2973597723.0,191790786715.0,4091641612.0,4091641612.0,0.0,0.0,0.0,0.0,0.0,4091641612.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101488,2015,Q2,20150813000964,20150813,ok,CFS,2015-06-30,9783085766.0,4283659308.0,6024682899.0,3051085176.0,195827059653.0,-7894951783.0,-11986593395.0,0.0,0.0,0.0,0.0,0.0,-11986593395.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101488,2015,Q3,20151116000075,20151116,ok,CFS,2015-09-30,13765463957.0,3982378191.0,10969460444.0,4944777545.0,201374498894.0,-5869873148.0,2025078635.0,0.0,0.0,0.0,0.0,0.0,2025078635.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
00101488,2015,Q4,,,ok,CFS,,24222980512.0,10457516555.0,16751999580.0,5782539136.0,206076608904.0,43719574132.0,49589447280.0,0.0,0.0,0.0,0.0,0.0,49589447280.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,FY_FULL_API_ACCOUNTING_ONLY,True
00101549,2015,Q1,20150515000051,20150515,ok,CFS,2015-03-31,7758503712.0,7758503712.0,5333938085.0,5333938085.0,190186582673.0,7619222101.0,7619222101.0,2529714995.0,2529714995.0,0.0,0.0,2529714995.0,5089507106.0,True,NOT_ASSIGNED_ACCOUNTING_STAGE,ORIGINAL_RECEIPT_XBRL,True
