mcap_cap,fcf_min,fcf_yoy_min,n,median,mean,win,ge20,le_m20,years
50000000000.0,0.0,12.5,19,13.725490196078427,21.322313921579283,1.0,0.3157894736842105,0.0,3
50000000000.0,2.5,12.5,17,13.725490196078427,21.225413169825753,1.0,0.29411764705882354,0.0,3
50000000000.0,0.0,15.0,11,13.725490196078427,25.466896381466405,1.0,0.36363636363636365,0.0,3
50000000000.0,7.5,12.5,11,13.725490196078427,23.874513543832823,1.0,0.2727272727272727,0.0,3
40000000000.0,7.5,5.0,12,12.939760741841866,27.50910250609611,1.0,0.3333333333333333,0.0,3
50000000000.0,7.5,10.0,12,12.939760741841866,22.740427975652064,1.0,0.25,0.0,3
50000000000.0,10.0,0.0,12,12.939760741841866,21.31527121885001,1.0,0.25,0.0,3
50000000000.0,10.0,5.0,12,12.939760741841866,21.31527121885001,1.0,0.25,0.0,3
40000000000.0,10.0,0.0,10,12.939760741841866,23.413523871731464,1.0,0.3,0.0,3
40000000000.0,10.0,5.0,10,12.939760741841866,23.413523871731464,1.0,0.3,0.0,3
50000000000.0,2.5,15.0,10,12.939760741841866,23.704009182196565,1.0,0.3,0.0,3
50000000000.0,10.0,10.0,10,12.939760741841866,22.095776215806573,1.0,0.2,0.0,3
50000000000.0,7.5,5.0,16,12.939760741841866,24.588232426884097,0.9375,0.3125,0.0,3
50000000000.0,5.0,12.5,13,12.154031287605305,21.08763358546362,1.0,0.23076923076923078,0.0,3
40000000000.0,7.5,0.0,13,12.154031287605305,24.333241560759348,0.9230769230769231,0.3076923076923077,0.0,3
40000000000.0,5.0,5.0,15,11.945392491467576,23.48500204852575,1.0,0.26666666666666666,0.0,3
50000000000.0,0.0,10.0,22,11.209759006634513,19.4954566769987,1.0,0.2727272727272727,0.0,3
50000000000.0,2.5,10.0,20,11.209759006634513,19.230405313550143,1.0,0.25,0.0,3
50000000000.0,5.0,10.0,14,11.209759006634513,20.314623095477913,1.0,0.21428571428571427,0.0,3
40000000000.0,5.0,10.0,10,11.209759006634513,21.80725877792349,1.0,0.2,0.0,3
50000000000.0,7.5,0.0,18,11.209759006634513,21.25245982368573,0.8888888888888888,0.2777777777777778,0.0,3
40000000000.0,5.0,0.0,16,11.105439608565648,21.15612130903778,0.9375,0.25,0.0,3
40000000000.0,2.5,12.5,10,10.858436408829974,21.48825727516844,1.0,0.2,0.0,3
60000000000.0,0.0,12.5,22,10.858436408829974,18.628114620303226,0.9545454545454546,0.2727272727272727,0.0,3
60000000000.0,2.5,12.5,20,10.858436408829974,18.276329051185115,0.95,0.25,0.0,3
60000000000.0,0.0,15.0,14,10.858436408829974,20.345029809485364,0.9285714285714286,0.2857142857142857,0.0,3
60000000000.0,7.5,12.5,14,10.858436408829974,19.093871865630398,0.9285714285714286,0.21428571428571427,0.0,3
60000000000.0,10.0,12.5,12,10.735917474085511,17.948902714088874,0.9166666666666666,0.16666666666666666,0.0,3
60000000000.0,10.0,0.0,15,10.26548672566372,17.365187450857643,0.9333333333333333,0.2,0.0,3
60000000000.0,10.0,5.0,15,10.26548672566372,17.365187450857643,0.9333333333333333,0.2,0.0,3
60000000000.0,10.0,10.0,13,10.26548672566372,17.357870714979246,0.9230769230769231,0.15384615384615385,0.0,3
50000000000.0,5.0,5.0,21,10.26548672566372,19.82983423230716,0.9047619047619048,0.23809523809523808,0.0,3
40000000000.0,2.5,10.0,12,10.1820044465757,19.603881803736318,1.0,0.16666666666666666,0.0,3
40000000000.0,2.5,5.0,18,10.1820044465757,19.865548095276797,0.9444444444444444,0.2222222222222222,0.0,3
100000000000.0,0.0,12.5,29,10.106382978723394,18.56915431629131,0.9655172413793104,0.3103448275862069,0.0,3
100000000000.0,2.5,12.5,27,10.106382978723394,18.304204983314055,0.9629629629629629,0.2962962962962963,0.0,3
100000000000.0,0.0,15.0,21,10.106382978723394,19.69130337421772,0.9523809523809523,0.3333333333333333,0.0,3
100000000000.0,7.5,12.5,19,10.106382978723394,17.780849211266364,0.9473684210526315,0.2631578947368421,0.0,3
40000000000.0,0.0,10.0,13,10.098522167487678,18.187904145664582,1.0,0.15384615384615385,0.0,3
50000000000.0,2.5,5.0,29,10.098522167487678,16.815533681881444,0.8620689655172413,0.2413793103448276,0.0,3
60000000000.0,7.5,10.0,16,9.914164127859182,17.37358169741279,0.9375,0.1875,0.0,3
60000000000.0,7.5,5.0,20,9.914164127859182,19.92519451404627,0.9,0.25,0.0,3
100000000000.0,2.5,15.0,20,9.907560421400529,18.52108012422037,0.95,0.3,0.0,3
80000000000.0,7.5,12.5,18,9.907560421400529,17.417110439646475,0.9444444444444444,0.2222222222222222,0.0,3
80000000000.0,10.0,12.5,16,9.907560421400529,16.34878839774234,0.9375,0.1875,0.0,3
100000000000.0,10.0,12.5,16,9.907560421400529,16.34878839774234,0.9375,0.1875,0.0,3
60000000000.0,0.0,10.0,26,9.83068184877116,16.69200839787505,0.9615384615384616,0.23076923076923078,0.0,3
60000000000.0,2.5,10.0,24,9.83068184877116,16.23751157174095,0.9583333333333334,0.20833333333333334,0.0,3
80000000000.0,0.0,12.5,27,9.708737864077666,16.981937164499328,0.9629629629629629,0.25925925925925924,0.0,3
80000000000.0,2.5,12.5,25,9.708737864077666,16.56881451274053,0.96,0.24,0.0,3
80000000000.0,0.0,15.0,19,9.708737864077666,17.55390521724242,0.9473684210526315,0.2631578947368421,0.0,3
100000000000.0,7.5,15.0,17,9.708737864077666,16.340266362613207,0.9411764705882353,0.23529411764705882,0.0,3
80000000000.0,10.0,15.0,15,9.708737864077666,16.25956930226303,0.9333333333333333,0.2,0.0,3
100000000000.0,10.0,15.0,15,9.708737864077666,16.25956930226303,0.9333333333333333,0.2,0.0,3
100000000000.0,5.0,12.5,22,9.635789697066155,15.993441938314861,0.9545454545454546,0.22727272727272727,0.0,3
100000000000.0,0.0,10.0,36,9.635789697066155,14.277323307412116,0.9444444444444444,0.25,0.027777777777777776,3
80000000000.0,2.5,15.0,18,9.635789697066155,16.134912819635616,0.9444444444444444,0.2222222222222222,0.0,3
100000000000.0,5.0,15.0,18,9.635789697066155,15.571362675801359,0.9444444444444444,0.2222222222222222,0.0,3
100000000000.0,2.5,10.0,34,9.635789697066155,13.814461718937284,0.9411764705882353,0.23529411764705882,0.029411764705882353,3
80000000000.0,7.5,15.0,16,9.635789697066155,15.841023816500009,0.9375,0.1875,0.0,3
100000000000.0,7.5,10.0,24,9.635789697066155,12.491820968756153,0.9166666666666666,0.20833333333333334,0.041666666666666664,3
100000000000.0,7.5,5.0,30,9.635789697066155,14.592086239040723,0.9,0.23333333333333334,0.03333333333333333,3
