target_year,period,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,rcept_dt,flr_nm,rm,detail_type,is_correction,filing_rank_within_corp_period,is_earliest_corp_period
2018,Q3,00101044,에이프로젠바이오로직스,003060,Y,분기보고서 (2018.09),20181113000575,20181113,에이프로젠바이오로직스,정,A002,False,2,False
2018,Q3,00101044,에이프로젠바이오로직스,003060,Y,분기보고서 (2018.09),20181113000575,20181113,에이프로젠바이오로직스,정,A003,False,3,False
2018,Q3,00101044,에이프로젠바이오로직스,003060,Y,[기재정정]분기보고서 (2018.09),20181114002012,20181114,에이프로젠바이오로직스,,A001,True,4,False
2018,Q3,00101044,에이프로젠바이오로직스,003060,Y,[기재정정]분기보고서 (2018.09),20181114002012,20181114,에이프로젠바이오로직스,,A002,True,5,False
2018,Q3,00101044,에이프로젠바이오로직스,003060,Y,[기재정정]분기보고서 (2018.09),20181114002012,20181114,에이프로젠바이오로직스,,A003,True,6,False
2018,FY,00101220,KG케미칼,001390,Y,사업보고서 (2018.12),20190401004993,20190401,KG케미칼,연,A001,False,1,True
2018,FY,00101220,KG케미칼,001390,Y,사업보고서 (2018.12),20190401004993,20190401,KG케미칼,연,A002,False,2,False
2018,FY,00101220,KG케미칼,001390,Y,사업보고서 (2018.12),20190401004993,20190401,KG케미칼,연,A003,False,3,False
2018,H1,00101220,KG케미칼,001390,Y,반기보고서 (2018.06),20180814002554,20180814,KG케미칼,,A001,False,1,True
2018,H1,00101220,KG케미칼,001390,Y,반기보고서 (2018.06),20180814002554,20180814,KG케미칼,,A002,False,2,False
2018,H1,00101220,KG케미칼,001390,Y,반기보고서 (2018.06),20180814002554,20180814,KG케미칼,,A003,False,3,False
2018,Q1,00101220,KG케미칼,001390,Y,분기보고서 (2018.03),20180515000678,20180515,KG케미칼,,A001,False,1,True
2018,Q1,00101220,KG케미칼,001390,Y,분기보고서 (2018.03),20180515000678,20180515,KG케미칼,,A002,False,2,False
2018,Q1,00101220,KG케미칼,001390,Y,분기보고서 (2018.03),20180515000678,20180515,KG케미칼,,A003,False,3,False
2018,Q3,00101220,KG케미칼,001390,Y,분기보고서 (2018.09),20181114000747,20181114,KG케미칼,,A001,False,1,True
2018,Q3,00101220,KG케미칼,001390,Y,분기보고서 (2018.09),20181114000747,20181114,KG케미칼,,A002,False,2,False
2018,Q3,00101220,KG케미칼,001390,Y,분기보고서 (2018.09),20181114000747,20181114,KG케미칼,,A003,False,3,False
2018,FY,00101433,경농,002100,Y,사업보고서 (2018.12),20190401002886,20190401,경농,정연,A001,False,1,True
2018,FY,00101433,경농,002100,Y,사업보고서 (2018.12),20190401002886,20190401,경농,정연,A002,False,2,False
2018,FY,00101433,경농,002100,Y,사업보고서 (2018.12),20190401002886,20190401,경농,정연,A003,False,3,False
2018,FY,00101433,경농,002100,Y,[기재정정]사업보고서 (2018.12),20190403001952,20190403,경농,연,A001,True,4,False
2018,FY,00101433,경농,002100,Y,[기재정정]사업보고서 (2018.12),20190403001952,20190403,경농,연,A002,True,5,False
2018,FY,00101433,경농,002100,Y,[기재정정]사업보고서 (2018.12),20190403001952,20190403,경농,연,A003,True,6,False
2018,H1,00101433,경농,002100,Y,반기보고서 (2018.06),20180814002894,20180814,경농,,A001,False,1,True
2018,H1,00101433,경농,002100,Y,반기보고서 (2018.06),20180814002894,20180814,경농,,A002,False,2,False
2018,H1,00101433,경농,002100,Y,반기보고서 (2018.06),20180814002894,20180814,경농,,A003,False,3,False
2018,Q1,00101433,경농,002100,Y,분기보고서 (2018.03),20180515000627,20180515,경농,,A001,False,1,True
2018,Q1,00101433,경농,002100,Y,분기보고서 (2018.03),20180515000627,20180515,경농,,A002,False,2,False
2018,Q1,00101433,경농,002100,Y,분기보고서 (2018.03),20180515000627,20180515,경농,,A003,False,3,False
2018,Q3,00101433,경농,002100,Y,분기보고서 (2018.09),20181114000961,20181114,경농,,A001,False,1,True
2018,Q3,00101433,경농,002100,Y,분기보고서 (2018.09),20181114000961,20181114,경농,,A002,False,2,False
2018,Q3,00101433,경농,002100,Y,분기보고서 (2018.09),20181114000961,20181114,경농,,A003,False,3,False
2018,FY,00101488,경동나비엔,009450,Y,사업보고서 (2018.12),20190329002643,20190329,경동나비엔,연,A001,False,1,True
2018,FY,00101488,경동나비엔,009450,Y,사업보고서 (2018.12),20190329002643,20190329,경동나비엔,연,A002,False,2,False
2018,FY,00101488,경동나비엔,009450,Y,사업보고서 (2018.12),20190329002643,20190329,경동나비엔,연,A003,False,3,False
2018,H1,00101488,경동나비엔,009450,Y,반기보고서 (2018.06),20180813000259,20180813,경동나비엔,,A001,False,1,True
