corp_code,company_name,quarter,op_q,prior_op_q,ni_ttm,equity,fcf_q,fcf_yoy,stock_code,marcap_matched,security_review_status,observed_markets,period,signal_date,signal_receipt_no,signal_report_name,mcap_pre_signal,mcap_date,entry_date,entry_open,adv20,R5,R10,R20,R60,R120,R5_raw,R10_raw,R20_raw,R60_raw,R120_raw,CA_R5,CA_R10,CA_R20,CA_R60,CA_R120,MFE20,MAE20,fcf_pct,fcf_yoy_pct,loss_pct,status
00415594,동국S&C,Q3,7057436038.0,-1238995215.0,-280261528.0,275342007990.0,-30709706082.0,-22534905893.0,100130,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,Q3,20191113,20191113000310,분기보고서 (2019.09),122286020000.0,2019-11-12,2019-11-14,2270.0,289082603.0,3.083700440528636,3.524229074889873,-2.2026431718061623,17.84140969162995,8.590308370044042,3.083700440528636,3.524229074889873,-2.2026431718061623,17.84140969162995,8.590308370044042,False,False,False,False,False,14.317180616740078,-3.524229074889873,-25.113014620968123,-18.42803117887065,0.22918525600882259,OK
00416654,유엔젤,Q3,43721488.0,-1124313011.0,-1124111370.0,37319733296.0,-327963282.0,2282426891.0,072130,True,MATCHED_COMMON_CANDIDATE,KOSPI,Q3,20191114,20191114001217,분기보고서 (2019.09),73234769700.0,2019-11-13,2019-11-15,5680.0,4888209699.75,10.035211267605625,4.401408450704225,-6.690140845070425,-11.267605633802813,-35.2112676056338,10.035211267605625,4.401408450704225,-6.690140845070425,-11.267605633802813,-35.2112676056338,False,False,False,False,False,28.3450704225352,-13.820422535211263,-0.4478245556632098,3.11658915614778,1.5349421792474074,OK
00435312,하이스틸,Q2,4347486699.0,-781138691.0,-1446447405.0,130575743406.0,11718996389.0,24308344632.0,071090,True,MATCHED_COMMON_CANDIDATE,KOSPI,H1,20190814,20190814001460,반기보고서 (2019.06),36398980800.0,2019-08-13,2019-08-16,18150.0,120888622.5,9.090909090909083,10.743801652892571,23.96694214876034,14.600550964187331,3.8567493112947604,9.090909090909083,10.743801652892571,23.96694214876034,14.600550964187331,3.8567493112947604,False,False,False,False,False,27.27272727272727,-0.27548209366391463,32.19594651122759,66.78303649645048,3.9738678754433696,OK
00440712,리튬포어스,Q2,714724903.0,-1388579459.0,-14486188712.0,31483099163.0,-1904720417.0,-1099962627.0,073570,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,H1,20190814,20190814002940,반기보고서 (2019.06),108521982600.0,2019-08-13,2019-08-16,7730.0,657409336.5,4.010349288486426,5.433376455368699,7.503234152651994,55.23932729624838,25.097024579560156,4.010349288486426,5.433376455368699,7.503234152651994,55.23932729624838,25.097024579560156,False,False,False,False,False,20.051746442432083,-2.3285899094437235,-1.7551470875910813,-1.0135850826226982,13.348621509611085,OK
00442154,제이엔케이글로벌,Q1,1474472517.0,-291130258.0,-5191560574.0,61874084955.0,,,126880,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,Q1,20190515,20190515000022,분기보고서 (2019.03),99179879760.0,2019-05-14,2019-05-16,5620.0,3756450732.5,-3.558718861209964,-2.6690391459074703,-3.0249110320284656,-16.45907473309609,-1.9572953736654797,-3.558718861209964,-2.6690391459074703,-3.0249110320284656,-16.45907473309609,-1.9572953736654797,False,False,False,False,False,12.099644128113884,-11.83274021352313,,,5.234489683353897,OK
00442154,제이엔케이글로벌,Q2,699160930.0,-450669488.0,-9420847285.0,74205957747.0,,,126880,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,H1,20190814,20190814000375,반기보고서 (2019.06),110715853200.0,2019-08-13,2019-08-16,4980.0,5455025672.0,3.0120481927710774,1.8072289156626509,15.060240963855431,4.417670682730934,-8.634538152610439,3.0120481927710774,1.8072289156626509,15.060240963855431,4.417670682730934,-8.634538152610439,False,False,False,False,False,19.076305220883526,-4.216867469879515,,,8.509031916126714,OK
00442561,에프알텍,Q3,594755145.0,-443122088.0,-1946791903.0,32368448418.0,462235360.0,240888141.0,073540,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,Q3,20191114,20191114000542,분기보고서 (2019.09),62928000000.0,2019-11-13,2019-11-15,5660.0,1947954057.5,-6.183745583038869,-5.653710247349819,-3.180212014134276,-8.657243816254411,-20.671378091872793,-6.183745583038869,-5.653710247349819,-3.180212014134276,-8.657243816254411,-20.671378091872793,False,False,False,False,False,3.0035335689045928,-10.424028268551233,0.7345464022374778,0.3827996138443936,3.093681513793542,OK
00442835,메타랩스,Q1,492283576.0,-5319419652.0,-9272932720.0,67288112268.0,-385024239.0,898713551.0,090370,True,MATCHED_COMMON_CANDIDATE,KOSPI,Q1,20190515,20190515001921,분기보고서 (2019.03),104896442880.0,2019-05-14,2019-05-16,2285.0,3705378529.75,-7.877461706783373,8.315098468271342,-14.223194748358859,-43.98249452954048,-40.70021881838074,-7.877461706783373,8.315098468271342,-14.223194748358859,-43.98249452954048,-40.70021881838074,False,False,False,False,False,11.378555798687096,-16.411378555798684,-0.36705175926743494,0.8567626568882942,8.840083100442309,OK
00444329,위메이드,Q3,222765482.0,-4417590050.0,-54849822989.0,257941269258.0,,,112040,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,Q3,20191113,20191113000411,분기보고서 (2019.09),476280000000.0,2019-11-12,2019-11-14,28050.0,3410237625.0,-5.704099821746878,2.317290552584672,12.655971479500883,16.934046345811062,2.8520499108734443,-5.704099821746878,2.317290552584672,12.655971479500883,16.934046345811062,2.8520499108734443,False,False,False,False,False,17.112299465240643,-9.625668449197866,,,11.516297763710423,OK
00475976,인콘,Q4,226510190.0,-147246083.0,-19706708334.0,56434979935.0,2160466302.0,488108914.0,083640,True,MATCHED_COMMON_CANDIDATE,KOSDAQ,FY,20200330,20200330003276,사업보고서 (2019.12),70141773832.0,2020-03-27,2020-03-31,945.0,1482088872.7,16.93121693121693,20.105820105820115,23.28042328042328,-8.253968253968258,-2.010582010582007,16.93121693121693,20.105820105820115,23.28042328042328,-8.253968253968258,-2.010582010582007,False,False,False,False,False,42.32804232804233,-3.703703703703709,3.080142095029759,0.6958890363524218,28.09553744848327,OK
