target_year,period,corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,rcept_dt,flr_nm,rm,detail_type,is_correction,filing_rank_within_corp_period,is_earliest_corp_period
2016,FY,00100601,강원에너지,114190,K,사업보고서 (2016.12),20170330001309,20170330,강원에너지,연,A001,False,1,True
2016,FY,00100601,강원에너지,114190,K,사업보고서 (2016.12),20170330001309,20170330,강원에너지,연,A002,False,2,False
2016,FY,00100601,강원에너지,114190,K,사업보고서 (2016.12),20170330001309,20170330,강원에너지,연,A003,False,3,False
2016,H1,00100601,강원에너지,114190,K,반기보고서 (2016.06),20160816001239,20160816,강원에너지,,A001,False,1,True
2016,H1,00100601,강원에너지,114190,K,반기보고서 (2016.06),20160816001239,20160816,강원에너지,,A002,False,2,False
2016,H1,00100601,강원에너지,114190,K,반기보고서 (2016.06),20160816001239,20160816,강원에너지,,A003,False,3,False
2016,Q1,00100601,강원에너지,114190,K,분기보고서 (2016.03),20160516001796,20160516,강원에너지,,A001,False,1,True
2016,Q1,00100601,강원에너지,114190,K,분기보고서 (2016.03),20160516001796,20160516,강원에너지,,A002,False,2,False
2016,Q1,00100601,강원에너지,114190,K,분기보고서 (2016.03),20160516001796,20160516,강원에너지,,A003,False,3,False
2016,Q3,00100601,강원에너지,114190,K,분기보고서 (2016.09),20161111000700,20161111,강원에너지,,A001,False,1,True
2016,Q3,00100601,강원에너지,114190,K,분기보고서 (2016.09),20161111000700,20161111,강원에너지,,A002,False,2,False
2016,Q3,00100601,강원에너지,114190,K,분기보고서 (2016.09),20161111000700,20161111,강원에너지,,A003,False,3,False
2016,FY,00100939,강남제비스코,000860,Y,사업보고서 (2016.12),20170331003178,20170331,강남제비스코,정연,A001,False,1,True
2016,FY,00100939,강남제비스코,000860,Y,사업보고서 (2016.12),20170331003178,20170331,강남제비스코,정연,A002,False,2,False
2016,FY,00100939,강남제비스코,000860,Y,사업보고서 (2016.12),20170331003178,20170331,강남제비스코,정연,A003,False,3,False
2016,H1,00100939,강남제비스코,000860,Y,반기보고서 (2016.06),20160816001077,20160816,강남제비스코,,A001,False,1,True
2016,H1,00100939,강남제비스코,000860,Y,반기보고서 (2016.06),20160816001077,20160816,강남제비스코,,A002,False,2,False
2016,H1,00100939,강남제비스코,000860,Y,반기보고서 (2016.06),20160816001077,20160816,강남제비스코,,A003,False,3,False
2016,Q1,00100939,강남제비스코,000860,Y,분기보고서 (2016.03),20160516001813,20160516,강남제비스코,,A001,False,1,True
2016,Q1,00100939,강남제비스코,000860,Y,분기보고서 (2016.03),20160516001813,20160516,강남제비스코,,A002,False,2,False
2016,Q1,00100939,강남제비스코,000860,Y,분기보고서 (2016.03),20160516001813,20160516,강남제비스코,,A003,False,3,False
2016,Q3,00100939,강남제비스코,000860,Y,분기보고서 (2016.09),20161114000513,20161114,강남제비스코,,A001,False,1,True
2016,Q3,00100939,강남제비스코,000860,Y,분기보고서 (2016.09),20161114000513,20161114,강남제비스코,,A002,False,2,False
2016,Q3,00100939,강남제비스코,000860,Y,분기보고서 (2016.09),20161114000513,20161114,강남제비스코,,A003,False,3,False
2016,FY,00101044,에이프로젠바이오로직스,003060,Y,사업보고서 (2016.12),20170330000533,20170330,에이프로젠바이오로직스,연,A001,False,1,True
2016,FY,00101044,에이프로젠바이오로직스,003060,Y,사업보고서 (2016.12),20170330000533,20170330,에이프로젠바이오로직스,연,A002,False,2,False
2016,FY,00101044,에이프로젠바이오로직스,003060,Y,사업보고서 (2016.12),20170330000533,20170330,에이프로젠바이오로직스,연,A003,False,3,False
2016,H1,00101044,에이프로젠바이오로직스,003060,Y,반기보고서 (2016.06),20160812001029,20160812,에이프로젠바이오로직스,,A001,False,1,True
2016,H1,00101044,에이프로젠바이오로직스,003060,Y,반기보고서 (2016.06),20160812001029,20160812,에이프로젠바이오로직스,,A002,False,2,False
2016,H1,00101044,에이프로젠바이오로직스,003060,Y,반기보고서 (2016.06),20160812001029,20160812,에이프로젠바이오로직스,,A003,False,3,False
2016,Q1,00101044,에이프로젠바이오로직스,003060,Y,분기보고서 (2016.03),20160513001819,20160513,에이프로젠바이오로직스,,A001,False,1,True
2016,Q1,00101044,에이프로젠바이오로직스,003060,Y,분기보고서 (2016.03),20160513001819,20160513,에이프로젠바이오로직스,,A002,False,2,False
2016,Q1,00101044,에이프로젠바이오로직스,003060,Y,분기보고서 (2016.03),20160513001819,20160513,에이프로젠바이오로직스,,A003,False,3,False
2016,Q3,00101044,에이프로젠바이오로직스,003060,Y,분기보고서 (2016.09),20161111000548,20161111,에이프로젠바이오로직스,,A001,False,1,True
2016,Q3,00101044,에이프로젠바이오로직스,003060,Y,분기보고서 (2016.09),20161111000548,20161111,에이프로젠바이오로직스,,A002,False,2,False
2016,Q3,00101044,에이프로젠바이오로직스,003060,Y,분기보고서 (2016.09),20161111000548,20161111,에이프로젠바이오로직스,,A003,False,3,False
2016,FY,00101220,KG케미칼,001390,Y,사업보고서 (2016.12),20170331003095,20170331,KG케미칼,정연,A001,False,1,True
2016,FY,00101220,KG케미칼,001390,Y,사업보고서 (2016.12),20170331003095,20170331,KG케미칼,정연,A002,False,2,False
2016,FY,00101220,KG케미칼,001390,Y,사업보고서 (2016.12),20170331003095,20170331,KG케미칼,정연,A003,False,3,False
2016,H1,00101220,KG케미칼,001390,Y,반기보고서 (2016.06),20160816001479,20160816,KG케미칼,정,A001,False,1,True
2016,H1,00101220,KG케미칼,001390,Y,반기보고서 (2016.06),20160816001479,20160816,KG케미칼,정,A002,False,2,False
2016,H1,00101220,KG케미칼,001390,Y,반기보고서 (2016.06),20160816001479,20160816,KG케미칼,정,A003,False,3,False
2016,H1,00101220,KG케미칼,001390,Y,[기재정정]반기보고서 (2016.06),20170210000639,20170213,KG케미칼,,A001,True,4,False
2016,H1,00101220,KG케미칼,001390,Y,[기재정정]반기보고서 (2016.06),20170210000639,20170213,KG케미칼,,A002,True,5,False
2016,H1,00101220,KG케미칼,001390,Y,[기재정정]반기보고서 (2016.06),20170210000639,20170213,KG케미칼,,A003,True,6,False
2016,Q1,00101220,KG케미칼,001390,Y,분기보고서 (2016.03),20160516003497,20160516,KG케미칼,정,A001,False,1,True
2016,Q1,00101220,KG케미칼,001390,Y,분기보고서 (2016.03),20160516003497,20160516,KG케미칼,정,A002,False,2,False
2016,Q1,00101220,KG케미칼,001390,Y,분기보고서 (2016.03),20160516003497,20160516,KG케미칼,정,A003,False,3,False
2016,Q1,00101220,KG케미칼,001390,Y,[기재정정]분기보고서 (2016.03),20170210000637,20170213,KG케미칼,,A001,True,4,False
2016,Q1,00101220,KG케미칼,001390,Y,[기재정정]분기보고서 (2016.03),20170210000637,20170213,KG케미칼,,A002,True,5,False
2016,Q1,00101220,KG케미칼,001390,Y,[기재정정]분기보고서 (2016.03),20170210000637,20170213,KG케미칼,,A003,True,6,False
2016,Q3,00101220,KG케미칼,001390,Y,분기보고서 (2016.09),20161114000218,20161114,KG케미칼,정,A001,False,1,True
2016,Q3,00101220,KG케미칼,001390,Y,분기보고서 (2016.09),20161114000218,20161114,KG케미칼,정,A002,False,2,False
2016,Q3,00101220,KG케미칼,001390,Y,분기보고서 (2016.09),20161114000218,20161114,KG케미칼,정,A003,False,3,False
2016,Q3,00101220,KG케미칼,001390,Y,[기재정정]분기보고서 (2016.09),20170210000640,20170213,KG케미칼,,A001,True,4,False
2016,Q3,00101220,KG케미칼,001390,Y,[기재정정]분기보고서 (2016.09),20170210000640,20170213,KG케미칼,,A002,True,5,False
2016,Q3,00101220,KG케미칼,001390,Y,[기재정정]분기보고서 (2016.09),20170210000640,20170213,KG케미칼,,A003,True,6,False
2016,FY,00101433,경농,002100,Y,사업보고서 (2016.12),20170331004155,20170331,경농,연,A001,False,1,True
2016,FY,00101433,경농,002100,Y,사업보고서 (2016.12),20170331004155,20170331,경농,연,A002,False,2,False
2016,FY,00101433,경농,002100,Y,사업보고서 (2016.12),20170331004155,20170331,경농,연,A003,False,3,False
2016,H1,00101433,경농,002100,Y,반기보고서 (2016.06),20160816001526,20160816,경농,,A001,False,1,True
2016,H1,00101433,경농,002100,Y,반기보고서 (2016.06),20160816001526,20160816,경농,,A002,False,2,False
2016,H1,00101433,경농,002100,Y,반기보고서 (2016.06),20160816001526,20160816,경농,,A003,False,3,False
2016,Q1,00101433,경농,002100,Y,분기보고서 (2016.03),20160516003613,20160516,경농,,A001,False,1,True
2016,Q1,00101433,경농,002100,Y,분기보고서 (2016.03),20160516003613,20160516,경농,,A002,False,2,False
2016,Q1,00101433,경농,002100,Y,분기보고서 (2016.03),20160516003613,20160516,경농,,A003,False,3,False
2016,Q3,00101433,경농,002100,Y,분기보고서 (2016.09),20161114002447,20161114,경농,,A001,False,1,True
2016,Q3,00101433,경농,002100,Y,분기보고서 (2016.09),20161114002447,20161114,경농,,A002,False,2,False
2016,Q3,00101433,경농,002100,Y,분기보고서 (2016.09),20161114002447,20161114,경농,,A003,False,3,False
2016,FY,00101488,경동나비엔,009450,Y,사업보고서 (2016.12),20170330000274,20170330,경동나비엔,연,A001,False,1,True
2016,FY,00101488,경동나비엔,009450,Y,사업보고서 (2016.12),20170330000274,20170330,경동나비엔,연,A002,False,2,False
2016,FY,00101488,경동나비엔,009450,Y,사업보고서 (2016.12),20170330000274,20170330,경동나비엔,연,A003,False,3,False
2016,H1,00101488,경동나비엔,009450,Y,반기보고서 (2016.06),20160812000492,20160812,경동나비엔,,A001,False,1,True
2016,H1,00101488,경동나비엔,009450,Y,반기보고서 (2016.06),20160812000492,20160812,경동나비엔,,A002,False,2,False
2016,H1,00101488,경동나비엔,009450,Y,반기보고서 (2016.06),20160812000492,20160812,경동나비엔,,A003,False,3,False
2016,Q1,00101488,경동나비엔,009450,Y,분기보고서 (2016.03),20160513002435,20160513,경동나비엔,,A001,False,1,True
2016,Q1,00101488,경동나비엔,009450,Y,분기보고서 (2016.03),20160513002435,20160513,경동나비엔,,A002,False,2,False
2016,Q1,00101488,경동나비엔,009450,Y,분기보고서 (2016.03),20160513002435,20160513,경동나비엔,,A003,False,3,False
2016,Q3,00101488,경동나비엔,009450,Y,분기보고서 (2016.09),20161114000119,20161114,경동나비엔,정,A001,False,1,True
2016,Q3,00101488,경동나비엔,009450,Y,분기보고서 (2016.09),20161114000119,20161114,경동나비엔,정,A002,False,2,False
2016,Q3,00101488,경동나비엔,009450,Y,분기보고서 (2016.09),20161114000119,20161114,경동나비엔,정,A003,False,3,False
2016,Q3,00101488,경동나비엔,009450,Y,[기재정정]분기보고서 (2016.09),20161114002217,20161114,경동나비엔,,A001,True,4,False
2016,Q3,00101488,경동나비엔,009450,Y,[기재정정]분기보고서 (2016.09),20161114002217,20161114,경동나비엔,,A002,True,5,False
